Method Data,,,,,,
Method name,Panopea,,,,,
0.4295,55,33.4,12.3,0.0085,,
0.437,56,34.1,12.3,0.0075,,
0.4455,57,34.7,12.3,0.0075,,
0.454,58,35.4,12.3,0.0075,,
0.4625,59,36.1,12.3,0.0075,,
0.471,60,36.7,12.3,0.0075,,
0.479,61,37.2,12.3,0.008,,
0.487,62,37.8,12.3,0.0075,,
0.495,63,38.4,12.3,0.0075,,
0.5035,64,39.1,12.3,0.0075,,
0.512,65,39.7,12.3,0.0075,,
0.5205,66,40.3,12.3,0.0075,,
0.529,67,41,12.3,0.0085,,
0.5365,68,41.7,12.3,0.0075,,
0.545,69,42.4,12.3,0.0075,,
0.5535,70,43,12.3,0.0075,,
0.5615,71,43.8,12.3,0.0075,,
0.57,72,44.4,12.3,0.0075,,
0.578,73,45,12.3,0.008,,
0.586,74,45.7,12.3,0.0075,,
0.5945,75,46.3,12.3,0.0075,,
0.603,76,47,12.3,0.0075,,
0.6115,77,47.7,12.3,0.0075,,
0.62,78,48.4,12.3,0.0075,,
0.6275,79,49,12.3,0.0075,,
0.636,80,49.7,12.3,0.0075,,
0.6445,81,50.4,12.4,0.0075,,
0.6525,82,51,12.4,0.0075,,
0.661,83,51.8,12.4,0.0075,,
0.6695,84,52.5,12.4,0.0075,,
0.677,85,53,12.4,0.0075,,
0.6855,86,53.7,12.4,0.0075,,
0.694,87,54.4,12.4,0.0075,,
0.7025,88,55.2,12.4,0.0075,,
0.711,89,55.9,12.4,0.0075,,
0.719,90,56.7,12.4,0.0075,,
0.727,91,57.3,12.4,0.008,,
0.735,92,58,12.4,0.008,,
0.7435,93,58.8,12.4,0.0075,,
0.752,94,59.6,12.4,0.0075,,
0.7605,95,60.4,12.4,0.0075,,
0.769,96,61.1,12.4,0.0075,,
0.7765,97,61.8,12.4,0.0075,,
0.785,98,62.7,12.4,0.0085,,
0.7935,99,63.4,12.4,0.0075,,
0.8015,100,64.2,12.4,0.0075,,
0.81,101,65.1,12.4,0.0075,,
0.8185,102,66.1,12.4,0.0075,,
0.827,103,66.8,12.4,0.0085,,
0.8345,104,67.7,12.4,0.0075,,
0.843,105,68.5,12.5,0.0075,,
0.8515,106,69.5,12.5,0.0075,,
0.86,107,70.4,12.5,0.0075,,
0.868,108,71.3,12.5,0.0075,,
0.876,109,72,12.5,0.008,,
0.884,110,73.1,12.5,0.008,,
0.8925,111,74,12.5,0.0075,,
0.901,112,74.9,12.5,0.0075,,
0.9095,113,76,12.5,0.0075,,
0.918,114,77.1,12.5,0.0075,,
0.9265,115,78.2,12.5,0.0085,,
0.934,116,79.2,12.5,0.0075,,
0.942,117,80.3,12.5,0.0075,,
0.9505,118,81.4,12.5,0.0075,,
0.959,119,82.6,12.5,0.0075,,
0.9675,120,83.8,12.5,0.0075,,
0.976,121,85,12.5,0.0085,,
0.9835,122,86.4,12.5,0.0075,,
0.992,123,87.7,12.5,0.0075,,
1.0005,124,89.1,12.5,0.0075,,
1.009,125,90.6,12.5,0.0075,,
1.017,126,91.9,12.5,0.0075,,
1.0255,127,93.3,12.5,0.0085,,
1.033,128,95,12.5,0.0075,,
1.0415,129,96.7,12.5,0.0075,,
1.05,130,98.3,12.5,0.0075,,
1.0585,131,100,12.5,0.0075,,
1.067,132,101.7,12.6,0.0075,,
1.0745,133,103.3,12.6,0.0075,,
1.083,134,105.4,12.6,0.0085,,
1.0915,135,107.6,12.6,0.0075,,
1.0995,136,109.9,12.6,0.0075,,
1.108,137,112.4,12.6,0.0075,,
1.1165,138,114.8,12.6,0.0075,,
1.125,139,117.1,12.6,0.0085,,
1.1325,140,119.9,12.6,0.0075,,
1.141,141,122.8,12.6,0.0075,,
1.1495,142,126,12.6,0.0075,,
1.158,143,129.3,12.6,0.0075,,
1.166,144,132.7,12.6,0.0075,,
1.1745,145,136.1,12.6,0.0075,,
1.182,146,139.2,12.6,0.0075,,
1.1905,147,142.6,12.6,0.0075,,
1.199,148,146,12.6,0.0075,,
1.2075,149,149.7,12.6,0.0075,,
1.216,150,153.1,12.6,0.0075,,
1.2245,151,156.2,12.6,0.0075,,
1.232,152,159,12.6,0.0075,,
1.2405,153,162.1,12.6,0.0075,,
1.2485,154,164.9,12.6,0.0075,,
1.257,155,167.5,12.6,0.0075,,
1.2655,156,169.8,12.6,0.0075,,
1.274,157,171.7,12.6,0.0085,,
1.2815,158,173.8,12.7,0.0075,,
1.29,159,175.8,12.7,0.0075,,
1.2985,160,177.5,12.7,0.0075,,
1.307,161,179.2,12.7,0.0075,,
1.3155,162,180.8,12.7,0.0075,,
1.3235,163,182.2,12.7,0.008,,
1.3315,164,183.7,12.7,0.008,,
1.3415,165,185,12.7,0.0075,,
1.3415,405,189,13.3,0,,
1.342,406,189,13.3,0.0005,,
1.3435,407,188.9,13.3,0.001,,
1.346,408,189,13.3,0.002,,
1.35,409,189.2,13.3,0.003,,
1.3565,410,189.7,13.3,0.0045,,
1.365,411,190.4,13.3,0.006,,
1.3725,412,191.2,13.3,0.006,,
1.381,413,192.2,13.3,0.0065,,
1.3895,414,193.1,13.3,0.0065,,
1.3975,415,194,13.3,0.0055,,
1.406,416,194.9,13.3,0.006,,
1.4145,417,195.8,13.3,0.006,,
1.422,418,196.5,13.3,0.006,,
1.4305,419,197.4,13.3,0.0065,,
1.439,420,198.2,13.3,0.0065,,
1.4475,421,198.9,13.3,0.006,,
1.456,422,199.7,13.3,0.006,,
1.464,423,200.5,13.3,0.0055,,
1.472,424,201.1,13.3,0.006,,
1.48,425,201.8,13.3,0.006,,
1.4885,426,202.5,13.4,0.0065,,
1.497,427,203.1,13.4,0.006,,
1.5055,428,203.8,13.4,0.006,,
1.514,429,204.2,13.4,0.0065,,
1.5215,430,204.9,13.4,0.006,,
1.53,431,205.5,13.4,0.0065,,
1.5385,432,206.1,13.4,0.006,,
1.547,433,206.7,13.4,0.006,,
1.555,434,207.3,13.4,0.0055,,
1.5635,435,207.8,13.4,0.0065,,
1.571,436,208.3,13.4,0.006,,
1.5795,437,208.8,13.4,0.0065,,
1.588,438,209.3,13.4,0.006,,
1.5965,439,209.8,13.4,0.006,,
1.605,440,210.3,13.4,0.006,,
1.6135,441,210.8,13.4,0.006,,
1.621,442,211.2,13.4,0.006,,
1.6295,443,211.7,13.4,0.0065,,
1.6375,444,212.1,13.4,0.0055,,
1.646,445,212.6,13.4,0.006,,
1.6545,446,213,13.4,0.006,,
1.663,447,213.4,13.4,0.0065,,
1.6705,448,213.8,13.4,0.006,,
1.679,449,214.3,13.4,0.0065,,
1.6875,450,214.7,13.4,0.006,,
1.696,451,215.1,13.4,0.006,,
1.704,452,215.4,13.4,0.0055,,
1.7125,453,215.8,13.4,0.0065,,
1.72,454,216.3,13.4,0.006,,
1.7285,455,216.6,13.4,0.0065,,
1.737,456,216.9,13.4,0.006,,
1.7455,457,217.4,13.4,0.006,,
1.754,458,217.7,13.4,0.006,,
1.7625,459,218.1,13.5,0.006,,
1.77,460,218.3,13.5,0.006,,
1.7785,461,218.7,13.5,0.0065,,
1.7865,462,219,13.5,0.0055,,
1.795,463,219.4,13.5,0.006,,
1.8035,464,219.8,13.5,0.006,,
1.812,465,220,13.5,0.006,,
1.8195,466,220.3,13.5,0.006,,
1.828,467,220.7,13.5,0.0065,,
1.8365,468,221,13.5,0.006,,
1.845,469,221.3,13.5,0.006,,
1.8535,470,221.6,13.5,0.006,,
1.8615,471,221.9,13.5,0.006,,
1.8695,472,222.2,13.5,0.006,,
1.8775,473,222.5,13.5,0.006,,
1.886,474,222.9,13.5,0.006,,
1.8945,475,223.1,13.5,0.006,,
1.903,476,223.4,13.5,0.006,,
1.9115,477,223.7,13.5,0.0065,,
1.919,478,224,13.5,0.006,,
1.9275,479,224.2,13.5,0.0065,,
1.936,480,224.6,13.5,0.006,,
1.944,481,224.8,13.5,0.0055,,
1.9525,482,225.1,13.5,0.006,,
1.961,483,225.3,13.5,0.0065,,
1.9685,484,225.6,13.5,0.006,,
1.977,485,225.8,13.5,0.0065,,
1.9855,486,226.1,13.5,0.006,,
1.994,487,226.3,13.5,0.006,,
2.0025,488,226.6,13.5,0.006,,
2.01,489,226.8,13.5,0.006,,
2.0185,490,227,13.5,0.0065,,
2.027,491,227.3,13.6,0.0065,,
2.035,492,227.5,13.6,0.0055,,
2.0435,493,227.8,13.6,0.006,,
2.052,494,228,13.6,0.006,,
2.0595,495,228.2,13.6,0.006,,
2.068,496,228.5,13.6,0.0065,,
2.0765,497,228.8,13.6,0.0065,,
2.085,498,229,13.6,0.006,,
2.0935,499,229.2,13.6,0.006,,
2.1015,500,229.4,13.6,0.0055,,
2.1095,501,229.6,13.6,0.006,,
2.1175,502,229.8,13.6,0.006,,
2.126,503,230,13.6,0.0065,,
2.1345,504,230.3,13.6,0.006,,
2.143,505,230.5,13.6,0.006,,
2.1515,506,230.7,13.6,0.006,,
2.159,507,230.9,13.6,0.006,,
2.1675,508,231.1,13.6,0.0065,,
2.176,509,231.3,13.6,0.0065,,
2.184,510,231.5,13.6,0.0055,,
2.1925,511,231.7,13.6,0.006,,
2.201,512,231.9,13.6,0.006,,
2.2095,513,232.1,13.6,0.0065,,
2.217,514,232.3,13.6,0.006,,
2.2255,515,232.5,13.6,0.0065,,
2.234,516,232.8,13.6,0.006,,
2.242,517,232.9,13.6,0.0055,,
2.2505,518,233.1,13.6,0.006,,
2.259,519,233.2,13.6,0.0065,,
2.2665,520,233.5,13.6,0.006,,
2.275,521,233.7,13.7,0.0065,,
2.2835,522,233.8,13.7,0.006,,
2.292,523,234.1,13.7,0.006,,
2.3005,524,234.3,13.7,0.006,,
2.306,525,234.4,13.7,0.004,,
2.308,526,234.5,13.7,0.0015,,
2.3105,527,234.6,13.7,0.002,,
2.313,528,234.7,13.7,0.002,,
2.3165,529,234.7,13.7,0.0025,,
2.321,530,234.8,13.7,0.003,,
2.326,531,234.9,13.7,0.004,,
2.332,532,235,13.7,0.0045,,
2.336,533,235.1,13.7,0.0045,,
Scope 1/1, Sample 4/9 (2A),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,-62.4,12.4,NaN,,
0.001,1,-62.7,12.4,0.001,,
0.0025,2,-62.7,12.4,0.0015,,
0.005,3,-62.8,12.4,0.0025,,
0.0095,4,-62.6,12.4,0.004,,
0.015,5,-62.4,12.4,0.005,,
0.0235,6,-61.9,12.4,0.0075,,
0.032,7,-60.9,12.4,0.0075,,
0.0405,8,-59.8,12.4,0.0075,,
0.049,9,-58.3,12.4,0.007,,
0.057,10,-56.9,12.4,0.0075,,
0.065,11,-55.2,12.5,0.0075,,
0.073,12,-53.3,12.5,0.0075,,
0.0815,13,-51.3,12.5,0.0075,,
0.09,14,-48.9,12.5,0.0075,,
0.0985,15,-46.4,12.5,0.0075,,
0.107,16,-44,12.5,0.0075,,
0.1145,17,-41.1,12.5,0.007,,
0.123,18,-37.9,12.5,0.0075,,
0.1315,19,-34.3,12.5,0.0075,,
0.14,20,-30.5,12.5,0.0075,,
0.148,21,-26.6,12.5,0.0065,,
0.156,22,-23.3,12.5,0.0075,,
0.164,23,-19.9,12.5,0.0075,,
0.1725,24,-16.7,12.5,0.0075,,
0.181,25,-13.9,12.5,0.0075,,
0.1895,26,-11.4,12.5,0.0075,,
0.198,27,-9.1,12.5,0.0075,,
0.2065,28,-7.2,12.5,0.0075,,
0.214,29,-5.3,12.5,0.007,,
0.2225,30,-3.5,12.5,0.0075,,
0.2305,31,-1.3,12.5,0.0075,,
0.239,32,-0.1,12.5,0.0075,,
0.2475,33,1.3,12.5,0.007,,
0.256,34,2.5,12.5,0.0075,,
0.2635,35,3.8,12.5,0.007,,
0.272,36,5,12.5,0.0075,,
0.2805,37,6.2,12.5,0.0075,,
0.289,38,7.3,12.5,0.0075,,
0.297,39,8.4,12.5,0.0075,,
0.3055,40,9.5,12.5,0.0075,,
0.313,41,10.7,12.5,0.007,,
0.3215,42,11.8,12.6,0.0075,,
0.33,43,12.9,12.6,0.0075,,
0.3385,44,14,12.6,0.0075,,
0.347,45,15,12.6,0.0075,,
0.3555,46,15.9,12.6,0.0075,,
0.363,47,16.7,12.6,0.007,,
0.3715,48,17.5,12.6,0.0075,,
0.3795,49,18.4,12.6,0.0075,,
0.388,50,19.2,12.6,0.0075,,
0.3965,51,20.2,12.6,0.0075,,
0.405,52,21.1,12.6,0.007,,
0.4125,53,21.9,12.6,0.007,,
0.421,54,22.7,12.6,0.0075,,
0.4295,55,23.5,12.6,0.0075,,
0.4375,56,24.3,12.6,0.0075,,
0.446,57,25.2,12.6,0.0075,,
0.4545,58,26.1,12.6,0.007,,
0.462,59,26.9,12.6,0.007,,
0.4705,60,27.8,12.6,0.0075,,
0.479,61,28.7,12.6,0.0075,,
0.4875,62,29.5,12.6,0.0075,,
0.496,63,30.2,12.6,0.0075,,
0.5045,64,31,12.6,0.007,,
0.512,65,31.6,12.6,0.007,,
0.5205,66,32.4,12.6,0.0075,,
0.5285,67,33.2,12.6,0.0075,,
0.537,68,34.1,12.6,0.0075,,
0.5455,69,34.9,12.7,0.0075,,
0.554,70,35.7,12.7,0.0075,,
0.5615,71,36.5,12.7,0.007,,
0.57,72,37.2,12.7,0.0075,,
0.5785,73,37.9,12.7,0.0075,,
0.587,74,38.6,12.7,0.0075,,
0.595,75,39.7,12.7,0.0075,,
0.6035,76,40.5,12.7,0.0075,,
0.6115,77,41.4,12.7,0.0075,,
0.6195,78,42.2,12.7,0.0075,,
0.628,79,42.9,12.7,0.0075,,
0.6365,80,43.5,12.7,0.0075,,
0.645,81,44.4,12.7,0.007,,
0.6525,82,45.2,12.7,0.007,,
0.661,83,46,12.7,0.0075,,
0.6695,84,46.8,12.7,0.0075,,
0.678,85,47.6,12.7,0.0075,,
0.6865,86,48.3,12.7,0.0075,,
0.6945,87,49,12.7,0.0075,,
0.7025,88,50,12.7,0.0075,,
0.7105,89,50.8,12.7,0.0075,,
0.719,90,51.6,12.7,0.0075,,
0.7275,91,52.4,12.7,0.0075,,
0.736,92,53.4,12.7,0.007,,
0.7435,93,54.2,12.7,0.007,,
0.752,94,55,12.7,0.0075,,
0.7605,95,55.7,12.7,0.0075,,
0.769,96,56.5,12.8,0.0075,,
0.7775,97,57.4,12.7,0.0075,,
0.7855,98,58.3,12.7,0.0065,,
0.7935,99,59,12.8,0.0075,,
0.8015,100,59.8,12.8,0.0075,,
0.81,101,60.7,12.8,0.0075,,
0.8185,102,61.5,12.8,0.0075,,
0.827,103,62.5,12.8,0.0075,,
0.8355,104,63.5,12.8,0.007,,
0.843,105,64.3,12.8,0.007,,
0.8515,106,65.3,12.8,0.0075,,
0.86,107,66.3,12.8,0.0075,,
0.868,108,67.2,12.8,0.0075,,
0.8765,109,68.1,12.8,0.0075,,
0.885,110,69.2,12.8,0.007,,
0.8925,111,70.2,12.8,0.007,,
0.901,112,71.6,12.8,0.0075,,
0.9095,113,72.6,12.8,0.0075,,
0.918,114,73.6,12.8,0.0075,,
0.9265,115,74.8,12.8,0.0075,,
0.9345,116,76.1,12.8,0.0065,,
0.9425,117,77.2,12.8,0.0075,,
0.9505,118,78.2,12.8,0.0075,,
0.959,119,79.2,12.8,0.0075,,
0.9675,120,80.5,12.8,0.0075,,
0.976,121,81.8,12.8,0.0075,,
0.9845,122,82.9,12.8,0.007,,
0.992,123,84.1,12.8,0.007,,
1.0005,124,85.5,12.8,0.0075,,
1.009,125,87.2,12.8,0.0075,,
1.0175,126,88.7,12.8,0.0075,,
1.0255,127,90.3,12.8,0.0075,,
1.034,128,91.9,12.9,0.007,,
1.0415,129,93.3,12.9,0.007,,
1.05,130,95,12.9,0.0075,,
1.0585,131,96.8,12.9,0.0075,,
1.067,132,98.8,12.9,0.0075,,
1.0755,133,100.6,12.9,0.0075,,
1.084,134,102.7,12.9,0.007,,
1.092,135,104.4,12.9,0.0075,,
1.1,136,106.6,12.9,0.0075,,
1.108,137,108.8,12.9,0.0075,,
1.1165,138,111.3,12.9,0.0075,,
1.125,139,114,12.9,0.0075,,
1.1335,140,116.8,12.9,0.007,,
1.141,141,119.3,12.9,0.007,,
1.1495,142,122.1,12.9,0.0075,,
1.158,143,125.2,12.9,0.0075,,
1.1665,144,128.6,12.9,0.0075,,
1.175,145,132.2,12.9,0.0075,,
1.183,146,135.3,12.9,0.0075,,
1.191,147,138.6,12.9,0.0075,,
1.199,148,142.2,12.9,0.0075,,
1.2075,149,145.9,12.9,0.0075,,
1.216,150,149.2,12.9,0.0075,,
1.2245,151,152.7,12.9,0.0075,,
1.233,152,156.1,12.9,0.007,,
1.2405,153,159,12.9,0.007,,
1.249,154,161.8,12.9,0.0075,,
1.2575,155,164.8,12.9,0.0075,,
1.2655,156,167.3,12.9,0.0075,,
1.274,157,169.7,13,0.0075,,
1.2825,158,171.9,13,0.007,,
1.29,159,173.8,13,0.007,,
1.2985,160,175.6,13,0.0075,,
1.307,161,177.3,13,0.0075,,
1.3155,162,179.1,13,0.0075,,
1.3235,163,180.7,13,0.0075,,
1.332,164,182.3,13,0.007,,
1.3395,165,183.5,13,0.007,,
1.348,166,185,13,0.0075,,
1.351,166,185.1,13,0.006,,
1.351,407,188.9,13.5,0,,
1.3515,408,188.9,13.5,0.001,,
1.353,409,188.9,13.5,0.0025,,
1.3555,410,189,13.5,0.004,,
1.3595,411,189.1,13.5,0.0055,,
1.366,412,189.6,13.5,0.0095,,
1.3745,413,190.4,13.5,0.012,,
1.382,414,191.2,13.5,0.0125,,
1.3905,415,192.2,13.5,0.014,,
1.399,416,193.1,13.6,0.014,,
1.407,417,194,13.6,0.0115,,
1.4155,418,194.9,13.6,0.012,,
1.424,419,195.8,13.6,0.012,,
1.4315,420,196.6,13.6,0.0125,,
1.44,421,197.4,13.6,0.014,,
1.4485,422,198.2,13.6,0.014,,
1.457,423,199,13.6,0.012,,
1.4655,424,199.7,13.6,0.012,,
1.4735,425,200.4,13.6,0.0115,,
1.4815,426,201.1,13.6,0.0135,,
1.4895,427,201.8,13.6,0.0135,,
1.498,428,202.4,13.6,0.014,,
1.5065,429,203.1,13.6,0.012,,
1.515,430,203.7,13.6,0.012,,
1.5235,431,204.4,13.6,0.012,,
1.531,432,204.9,13.6,0.0125,,
1.5395,433,205.5,13.6,0.014,,
1.548,434,206,13.6,0.012,,
1.5565,435,206.6,13.6,0.012,,
1.5645,436,207.2,13.6,0.0115,,
1.573,437,207.7,13.6,0.014,,
1.5805,438,208.2,13.6,0.0125,,
1.589,439,208.8,13.6,0.014,,
1.5975,440,209.3,13.6,0.012,,
1.606,441,209.8,13.6,0.012,,
1.6145,442,210.2,13.6,0.012,,
1.622,443,210.7,13.6,0.0125,,
1.6305,444,211.2,13.6,0.014,,
1.639,445,211.6,13.6,0.014,,
1.6475,446,212.1,13.6,0.012,,
1.6555,447,212.5,13.6,0.0115,,
1.664,448,213,13.6,0.012,,
1.6715,449,213.4,13.6,0.0125,,
1.68,450,213.8,13.6,0.014,,
1.6885,451,214.2,13.6,0.014,,
1.697,452,214.6,13.6,0.012,,
1.7055,453,214.9,13.6,0.012,,
1.714,454,215.4,13.6,0.012,,
1.7215,455,215.7,13.7,0.0125,,
1.73,456,216.1,13.7,0.014,,
1.738,457,216.5,13.7,0.0135,,
1.7465,458,216.9,13.7,0.012,,
1.755,459,217.3,13.7,0.012,,
1.7635,460,217.7,13.7,0.012,,
1.772,461,218,13.7,0.014,,
1.7795,462,218.3,13.7,0.0125,,
1.788,463,218.6,13.7,0.014,,
1.7965,464,219,13.7,0.012,,
1.8045,465,219.3,13.7,0.0115,,
1.813,466,219.6,13.7,0.012,,
1.821,467,219.9,13.7,0.0135,,
1.829,468,220.2,13.7,0.0135,,
1.8375,469,220.6,13.7,0.014,,
1.846,470,221,13.7,0.012,,
1.8545,471,221.3,13.7,0.012,,
1.863,472,221.5,13.7,0.012,,
1.8705,473,221.9,13.7,0.0125,,
1.879,474,222.1,13.7,0.014,,
1.8875,475,222.5,13.7,0.014,,
1.8955,476,222.7,13.7,0.0115,,
1.904,477,223.1,13.7,0.012,,
1.9125,478,223.3,13.7,0.012,,
1.92,479,223.6,13.7,0.0125,,
1.9285,480,223.8,13.7,0.014,,
1.937,481,224.1,13.7,0.014,,
1.9455,482,224.4,13.7,0.012,,
1.954,483,224.7,13.7,0.012,,
1.962,484,225,13.7,0.0115,,
1.97,485,225.2,13.7,0.0135,,
1.978,486,225.5,13.7,0.0135,,
1.9865,487,225.7,13.7,0.014,,
1.995,488,226,13.8,0.012,,
2.0035,489,226.2,13.8,0.012,,
2.012,490,226.5,13.8,0.012,,
2.0195,491,226.7,13.8,0.0125,,
2.028,492,227,13.8,0.014,,
2.0365,493,227.2,13.8,0.014,,
2.0445,494,227.4,13.8,0.0115,,
2.053,495,227.7,13.8,0.012,,
2.0615,496,227.9,13.8,0.012,,
2.069,497,228.2,13.8,0.0125,,
2.0775,498,228.4,13.8,0.014,,
2.086,499,228.6,13.8,0.014,,
2.0945,500,228.8,13.8,0.012,,
2.103,501,229.1,13.8,0.012,,
2.1115,502,229.3,13.8,0.012,,
2.119,503,229.5,13.8,0.0125,,
2.127,504,229.7,13.8,0.0135,,
2.1355,505,229.9,13.8,0.014,,
2.144,506,230.2,13.8,0.012,,
2.1525,507,230.4,13.8,0.012,,
2.161,508,230.6,13.8,0.012,,
2.1685,509,230.8,13.8,0.0125,,
2.177,510,231,13.8,0.014,,
2.1855,511,231.2,13.8,0.014,,
2.1935,512,231.5,13.8,0.0115,,
2.202,513,231.6,13.8,0.012,,
2.2105,514,231.8,13.8,0.012,,
2.218,515,232,13.8,0.0125,,
2.2265,516,232.3,13.8,0.014,,
2.235,517,232.4,13.8,0.012,,
2.2435,518,232.6,13.8,0.012,,
2.252,519,232.8,13.8,0.012,,
2.2605,520,233,13.9,0.012,,
2.268,521,233.2,13.9,0.0125,,
2.2765,522,233.4,13.9,0.014,,
2.2845,523,233.6,13.9,0.0135,,
2.293,524,233.7,13.9,0.012,,
2.3015,525,234,13.9,0.012,,
2.31,526,234.2,13.9,0.014,,
2.317,527,234.4,13.9,0.0115,,
2.3215,528,234.5,13.9,0.0075,,
2.3235,529,234.5,13.9,0.003,,
2.326,530,234.6,13.9,0.0035,,
2.3285,531,234.6,13.9,0.0035,,
2.3325,532,234.8,13.9,0.0065,,
2.3365,533,234.9,13.9,0.0065,,
2.3425,534,235,13.9,0.01,,
2.345,534,235,13.9,NaN,,
Scope 1/1, Sample 5/9 (2B),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,-62,13.6,NaN,,
0.0005,1,-62.3,13.6,0.0005,,
0.0025,2,-62.4,13.6,0.002,,
0.005,3,-62.4,13.6,0.0025,,
0.009,4,-62.4,13.6,0.0035,,
0.015,5,-62.1,13.6,0.0055,,
0.0235,6,-61.5,13.6,0.0075,,
0.031,7,-60.6,13.6,0.0075,,
0.0395,8,-59.6,13.6,0.0085,,
0.048,9,-58.2,13.6,0.0085,,
0.0565,10,-56.6,13.6,0.0075,,
0.065,11,-54.9,13.6,0.0075,,
0.0735,12,-53,13.6,0.0075,,
0.081,13,-51.2,13.6,0.0075,,
0.0895,14,-49,13.6,0.0085,,
0.0975,15,-46.6,13.6,0.008,,
0.106,16,-43.9,13.6,0.0075,,
0.1145,17,-41,13.6,0.0075,,
0.123,18,-37.7,13.6,0.0075,,
0.1305,19,-34.6,13.6,0.0075,,
0.139,20,-31,13.6,0.0085,,
0.1475,21,-27.3,13.6,0.0085,,
0.156,22,-23.7,13.7,0.0075,,
0.164,23,-20.3,13.7,0.0075,,
0.1725,24,-17.3,13.7,0.0075,,
0.18,25,-14.8,13.7,0.0075,,
0.1885,26,-12.3,13.7,0.0085,,
0.197,27,-10.2,13.7,0.0085,,
0.2055,28,-8.2,13.7,0.0075,,
0.214,29,-6.3,13.7,0.0075,,
0.2225,30,-4.6,13.7,0.0075,,
0.23,31,-2.9,13.7,0.0075,,
0.2385,32,-0.8,13.7,0.0085,,
0.2465,33,0,13.7,0.008,,
0.255,34,1.3,13.7,0.0075,,
0.2635,35,2.5,13.7,0.0075,,
0.272,36,3.7,13.7,0.0075,,
0.2795,37,4.8,13.7,0.0075,,
0.288,38,5.8,13.7,0.0085,,
0.2965,39,6.8,13.7,0.0075,,
0.305,40,7.8,13.7,0.0075,,
0.3135,41,8.9,13.7,0.0075,,
0.322,42,9.9,13.7,0.0085,,
0.3295,43,11,13.7,0.0075,,
0.338,44,12.1,13.7,0.0085,,
0.346,45,13.1,13.7,0.0075,,
0.3545,46,14,13.7,0.0075,,
0.363,47,15,13.7,0.0075,,
0.3715,48,15.8,13.7,0.0085,,
0.379,49,16.7,13.7,0.0075,,
0.3875,50,17.5,13.7,0.0085,,
0.396,51,18.4,13.7,0.0075,,
0.4045,52,19.3,13.7,0.0075,,
0.4125,53,20.1,13.8,0.0075,,
0.421,54,20.8,13.7,0.0085,,
0.4285,55,21.7,13.8,0.0075,,
0.437,56,22.5,13.8,0.0085,,
0.4455,57,23.2,13.8,0.0075,,
0.454,58,24,13.8,0.0075,,
0.4625,59,24.8,13.8,0.0075,,
0.47,60,25.5,13.8,0.0075,,
0.4785,61,26.4,13.8,0.0085,,
0.487,62,27.2,13.8,0.0085,,
0.495,63,28,13.8,0.0075,,
0.5035,64,28.9,13.8,0.0075,,
0.512,65,29.7,13.8,0.0075,,
0.5205,66,30.4,13.8,0.0075,,
0.528,67,31.1,13.8,0.0075,,
0.5365,68,31.9,13.8,0.0085,,
0.545,69,32.7,13.8,0.0075,,
0.5535,70,33.5,13.8,0.0075,,
0.5615,71,34.3,13.8,0.0075,,
0.57,72,35.1,13.8,0.0085,,
0.5775,73,36,13.8,0.0075,,
0.586,74,36.8,13.8,0.0085,,
0.5945,75,37.6,13.8,0.0075,,
0.603,76,38.4,13.8,0.0075,,
0.6115,77,39.2,13.8,0.0075,,
0.62,78,39.8,13.8,0.0085,,
0.6275,79,40.7,13.8,0.0075,,
0.636,80,41.6,13.8,0.0085,,
0.644,81,42.4,13.8,0.0075,,
0.6525,82,43.2,13.8,0.0075,,
0.661,83,44,13.8,0.0075,,
0.6685,84,44.8,13.8,0.0075,,
0.677,85,45.6,13.8,0.0085,,
0.6855,86,46.4,13.9,0.0075,,
0.694,87,47.1,13.9,0.0075,,
0.7025,88,47.9,13.9,0.0075,,
0.711,89,48.7,13.9,0.0075,,
0.719,90,49.5,13.9,0.008,,
0.727,91,50.4,13.9,0.008,,
0.735,92,51.2,13.9,0.008,,
0.7435,93,52.2,13.9,0.0075,,
0.752,94,53.2,13.9,0.0075,,
0.7605,95,54.1,13.9,0.0075,,
0.768,96,55,13.9,0.0075,,
0.7765,97,55.7,13.9,0.0085,,
0.785,98,56.5,13.9,0.0085,,
0.7935,99,57.4,13.9,0.0075,,
0.8015,100,58.3,13.9,0.0075,,
0.81,101,59.2,13.9,0.0075,,
0.8185,102,60.1,13.9,0.0085,,
0.826,103,60.9,13.9,0.0075,,
0.8345,104,62,13.9,0.0085,,
0.843,105,62.9,13.9,0.0075,,
0.8515,106,63.9,13.9,0.0075,,
0.86,107,65,13.9,0.0075,,
0.868,108,65.9,13.9,0.008,,
0.876,109,66.9,13.9,0.008,,
0.884,110,67.9,13.9,0.008,,
0.8925,111,69,13.9,0.0075,,
0.901,112,70.1,13.9,0.0075,,
0.9095,113,71.2,13.9,0.0075,,
0.918,114,72.1,13.9,0.0085,,
0.9255,115,73.3,13.9,0.0075,,
0.934,116,74.5,13.9,0.0085,,
0.9425,117,75.6,13.9,0.0075,,
0.951,118,76.9,13.9,0.0075,,
0.959,119,78.2,14,0.0075,,
0.967,120,79.4,14,0.008,,
0.975,121,80.8,14,0.008,,
0.9835,122,82,14,0.0085,,
